S1,S2,S3,S4,S5,S6,S7,S8,OBSTACLE,ACTION
12.75,10.79,14.16,50,50,50,50,50,1,1
13.11,10.64,14.17,50,50,50,50,50,1,1
12.84,10.65,14.15,50,50,50,50,50,1,1
13.2,10.45,14.03,50,50,50,50,50,1,1
13.25,10.42,14.2,50,50,50,50,50,1,1
12.98,10.2,14.15,50,50,50,50,50,1,1
12.99,10.05,14.03,50,50,50,50,50,1,1
13.12,9.97,14.02,50,50,50,50,50,1,1
13.21,10.75,14.22,50,50,50,50,50,1,1
13.12,10.56,13.98,50,50,50,50,50,1,1
13.21,10.54,14.21,50,50,50,50,50,1,1
13.16,10.2,14.02,50,50,50,50,50,1,1
12.85,10.01,14.08,50,50,50,50,50,1,1
12.89,10.11,14.21,50,50,50,50,50,1,1
12.99,10.02,14.12,50,50,50,50,50,1,1
13.12,10.08,14.01,50,50,50,50,50,1,1
13.08,10.12,14.12,50,50,50,50,50,1,1
13.15,10.09,14.15,50,50,50,50,50,1,1
13.12,10.15,14.16,50,50,50,50,50,1,1
13.21,10.42,14.23,50,50,50,50,50,1,1
13.15,10.2,14.12,50,50,50,50,50,1,1
13.2,10.05,14.02,50,50,50,50,50,1,1
12.8,9.91,14.01,50,50,50,50,50,1,1
12.95,10.23,14.25,50,50,50,50,50,1,1
13.15,10.21,14.06,50,50,50,50,50,1,1
13.42,10.45,14.01,50,50,50,50,50,1,2
12.75,9.98,14.12,50,50,50,50,50,1,2
12.85,9.99,13.98,50,50,50,50,50,1,2
13.21,10.02,14.21,50,50,50,50,50,1,2
13.13,10.12,14.23,50,50,50,50,50,1,2
13.23,10.1,13.95,50,50,50,50,50,1,2
13.26,10.12,14.52,50,50,50,50,50,1,2
13.21,10.23,14.2,50,50,50,50,50,1,2
13.25,10.21,14.23,50,50,50,50,50,1,2
13.26,10.25,14.21,50,50,50,50,50,1,2
13.23,10.24,14.29,50,50,50,50,50,1,2
13.29,10.26,14.52,50,50,50,50,50,1,2
13.02,10.12,13.98,50,50,50,50,50,1,2
13.08,10.02,14.03,50,50,50,50,50,1,2
13.05,10.2,14.14,50,50,50,50,50,1,2
13.16,10.23,14.09,50,50,50,50,50,1,2
12.75,10.23,14.01,50,50,50,50,50,1,2
12.9,9.99,14.12,50,50,50,50,50,1,2
13.12,10.65,14.05,50,50,50,50,50,1,2
13.15,10.75,13.98,50,50,50,50,50,1,2
13.51,10.87,14.21,50,50,50,50,50,1,2
13.05,10.84,14.08,50,50,50,50,50,1,2
13.04,9.98,14.01,50,50,50,50,50,1,2
12.84,10.81,14.12,50,50,50,50,50,1,2
13.54,10.76,14.2,50,50,50,50,50,1,2
50,50,32.18,2.46,33.36,50,50,50,2,0
50,50,33.45,2.46,43.75,50,50,50,2,0
50,50,34.5,2.47,46.51,50,50,50,2,0
50,50,32.18,2.52,33.52,50,50,50,2,0
50,50,33.75,2.43,40.26,50,50,50,2,0
50,50,33.54,2.48,43.13,50,50,50,2,0
50,50,32.19,2.6,45.46,50,50,50,2,0
50,50,33.45,2.45,46.52,50,50,50,2,0
50,50,33.12,2.51,43.23,50,50,50,2,0
50,50,33.51,2.19,41.19,50,50,50,2,0
50,50,33.32,2.49,45.87,50,50,50,2,0
50,50,33.37,2.46,42.54,50,50,50,2,0
50,50,32.56,2.51,46.65,50,50,50,2,0
50,50,33.45,2.32,42.76,50,50,50,2,0
50,50,32.86,2.41,44.12,50,50,50,2,0
50,50,33.12,2.72,43.12,50,50,50,2,0
50,50,32.15,2.48,42.85,50,50,50,2,0
50,50,33.46,2.54,42.46,50,50,50,2,0
50,50,32.12,2.32,45.21,50,50,50,2,0
50,50,33.42,2.29,43.15,50,50,50,2,0
50,50,32.12,2.35,44.51,50,50,50,2,0
50,50,33.01,2.46,43.98,50,50,50,2,0
50,50,33.21,2.41,42.51,50,50,50,2,0
50,50,32.43,2.56,43.21,50,50,50,2,0
50,50,33.84,2.23,44.21,50,50,50,2,0
50,50,32.89,2.51,44.21,50,50,50,2,0
50,50,33.12,2.41,44.02,50,50,50,2,0
50,50,31.26,2.51,42.85,50,50,50,2,0
50,50,32.54,2.32,43.56,50,50,50,2,0
50,50,33.54,2.7,43.46,50,50,50,2,0
50,50,32.75,2.41,44.54,50,50,50,2,0
50,50,33.76,2.32,42.85,50,50,50,2,0
50,50,32.54,2.48,43.33,50,50,50,2,0
50,50,33.12,2.38,42.87,50,50,50,2,0
50,50,32.45,2.41,42.98,50,50,50,2,0
50,50,33.12,2.35,46.12,50,50,50,2,0
50,50,33.12,2.41,45.45,50,50,50,2,0
50,50,32.75,2.41,42.98,50,50,50,2,0
50,50,32.99,2.46,43.05,50,50,50,2,0
50,50,33.05,2.34,42.12,50,50,50,2,0
50,50,33.42,2.51,43.12,50,50,50,2,0
50,50,32.25,2.32,44.23,50,50,50,2,0
50,50,33.45,2.48,43.21,50,50,50,2,0
50,50,32.53,2.32,42.46,50,50,50,2,0
50,50,32.85,2.45,44.85,50,50,50,2,0
50,50,33.12,2.32,42.75,50,50,50,2,0
50,50,33.13,2.45,46.02,50,50,50,2,0
50,50,32.14,2.85,43.01,50,50,50,2,0
50,50,33.12,2.45,46.21,50,50,50,2,0
50,50,32.18,2.61,32.64,50,50,50,2,0
45.76,50,50,50,50,50,22.17,2.49,3,0
45.12,50,50,50,50,50,23.55,3.26,3,0
45.25,50,50,50,50,50,23.07,3.19,3,0
45.71,50,50,50,50,50,23.1,3.3,3,0
45.28,50,50,50,50,50,23.05,2.54,3,0
